300,310
0.0,0.0
-2.705559878972302,-2.7418055795872753
-7.757474567601022,-7.790254878070236
-10.439647805216573,-10.517267983330411
-12.322652449064561,-12.430541469967126
-13.7993583219174,-13.925730823033591
-15.13079943285524,-15.267498119544916
-16.29730090946446,-16.431583232605618
-17.388162065949313,-17.511403850109424
-18.310107865536388,-18.419032240822848
-18.79926539704288,-18.894050899526043
-18.88267357767783,-18.960735849724013
-18.313809108168474,-18.379085097876786
-17.805608707945005,-17.85576476820007
-16.836646860989514,-16.878870090549793
-15.637662803195223,-15.657376972314387
-13.71247019378179,-13.714784575329675
-11.224889210778395,-11.155860081687969
-1.2627616819552223,-0.9108677252141355
-0.31332407992996636,0.0945468192820691
